,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
10,Ghost of Tsushima,https://www.imdb.com/title/tt7651352/?ref_=adv_li_tt,2020,M,9.3,"8,452","Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.",True,True,False,False,False,False,False,False,False
11,Spider-Man: Miles Morales,https://www.imdb.com/title/tt12496734/?ref_=adv_li_tt,2020,T,8.5,"5,835","In this sequel of Marvel's Spider-Man (2018), you can play as Miles Morales as a new and different Spider-Man while he learns some stories about his will of fighting crime and serving justice by his mentor and former hero, Peter Parker.",True,True,False,False,False,True,False,False,False
12,Cyberpunk 2077,https://www.imdb.com/title/tt3810192/?ref_=adv_li_tt,2020,M,8.0,"8,118","In Night City, a mercenary known as V navigates a dystopian society in which the line between humanity and technology becomes blurred.",True,False,False,True,False,False,False,False,False
13,Uncharted: Drake's Fortune,https://www.imdb.com/title/tt1000777/?ref_=adv_li_tt,2007,T,8.5,"20,343","Treasure hunter Nathan Drake, embarks in the adventure of his life searching for the legendary treasure, El Dorado while fighting a group of mercenaries.",True,True,False,False,False,True,False,False,False
14,Batman: Arkham Knight,https://www.imdb.com/title/tt3554580/?ref_=adv_li_tt,2015,M,9.0,"18,970","With his back against the wall, Batman turns to his closest allies to help him save Gotham City from the clutches of Scarecrow and the Arkham Knight's army. A familiar face also returns to give The Dark Knight a message he cannot ignore.",True,True,False,True,False,False,False,False,False
15,God of War: Ragnarök,https://www.imdb.com/title/tt13119450/?ref_=adv_li_tt,2022,M,,,"Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.",True,True,False,False,False,False,False,False,False
16,Far Cry 6,https://www.imdb.com/title/tt12693278/?ref_=adv_li_tt,2021,M,7.6,"1,922","As dictator of Yara, Anton Castillo is intent on restoring his nation back to its former glory by any means, with his son, Diego, following in his bloody footsteps.",True,True,False,True,False,False,False,False,False
17,Grand Theft Auto: San Andreas,https://www.imdb.com/title/tt0383385/?ref_=adv_li_tt,2004,M,9.4,"39,629","A family tragedy prompts gangster Carl ""CJ"" Johnson to return home, only to find it overrun by crime and corruption, which he must regain control of the streets before it gets even worse.",True,False,False,True,False,False,False,False,False
18,MultiVersus,https://www.imdb.com/title/tt16150204/?ref_=adv_li_tt,2022,T,7.8,244,A crossover fighting game featuring many different Warner Bros properties.,True,False,False,False,False,True,False,True,False
19,Far Cry 3,https://www.imdb.com/title/tt2321297/?ref_=adv_li_tt,2012,M,8.9,"18,775","While skydiving, Jason Brody and his friends land on an island overrun by pirates, where Jason is torn between fighting for the Rakyat resistance and rescuing his friends.",True,True,False,False,False,False,False,False,False
20,Star Wars Jedi: Fallen Order,https://www.imdb.com/title/tt5691474/?ref_=adv_li_tt,2019,T,8.5,"11,316","Set shortly after Revenge of the Sith, the player takes on the role of a Jedi padawan being hunted by the Empire after Order 66.",True,True,False,False,False,False,False,False,False
21,Elden Ring,https://www.imdb.com/title/tt10562854/?ref_=adv_li_tt,2022,M,9.5,"4,108","In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.",True,True,False,False,False,True,False,False,False
22,Xenoblade Chronicles 3,https://www.imdb.com/title/tt18115292/?ref_=adv_li_tt,2022,T,9.0,84,"In the world of Aionios, two nations are locked in conflict: Keves, a technological powerhouse and Agnus, a magic-based society. Six soldiers hailing from these nations, will take part in a grand tale with life as its central theme.",True,True,False,False,False,True,False,False,False
23,Uncharted: The Nathan Drake Collection,https://www.imdb.com/title/tt5766946/?ref_=adv_li_tt,2015,T,9.4,"5,383","A remastered collection of Uncharted: Drake's Fortune (2007), Uncharted 2: Among Thieves (2009), and Uncharted 3: Drake's Deception (2011) for PlayStation 4.",True,True,False,False,False,True,False,False,False
24,Assassin's Creed Valhalla,https://www.imdb.com/title/tt12235026/?ref_=adv_li_tt,2020,M,8.1,"4,072",England in the age of the Vikings is a fractured nation of petty lords and warring kingdoms. Beneath the chaos lies a rich and untamed land waiting for a new conqueror. Will it be you?,True,True,False,False,False,True,False,False,False
25,Marvel's Guardians of the Galaxy,https://www.imdb.com/title/tt14844718/?ref_=adv_li_tt,2021,T,8.7,"3,381","After an epic conflict known as the Galactic War swept through the cosmos. Star-Lord recently formed the Guardians of the Galaxy, they've been together for less than a year.",True,True,True,False,False,False,False,False,False
26,Grand Theft Auto: Vice City,https://www.imdb.com/title/tt0314123/?ref_=adv_li_tt,2002,M,9.2,"26,397","After being released from jail, Tommy Vercetti left Liberty City for Vice City, a city overrun by the mob. Now, Tommy is out to make Vice City his home.",True,False,False,True,False,False,False,False,False
27,Uncharted 2: Among Thieves,https://www.imdb.com/title/tt1349460/?ref_=adv_li_tt,2009,T,9.4,"25,048","After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.",True,True,False,False,False,True,False,False,False
28,The Witcher 3: Wild Hunt,https://www.imdb.com/title/tt2993508/?ref_=adv_li_tt,2015,M,9.7,"26,083",A monster hunter for hire embarks on an epic journey to find his former apprentice before The Wild Hunt can capture her and bring about the destruction of the world.,True,True,False,False,False,False,False,False,False
29,Fallout: New Vegas,https://www.imdb.com/title/tt1706601/?ref_=adv_li_tt,2010,M,8.9,"12,296","After surviving a bullet to the head, Courier Six traverses the post-apocalyptic Mojave desert in search of the men who wronged him, while making an impact on thousands in the process.",True,True,False,False,False,False,False,True,False
30,Command & Conquer: Red Alert 3,https://www.imdb.com/title/tt1198194/?ref_=adv_li_tt,2008,T,7.5,"2,066","As the Soviet Union was beginning to face defeat by the powers of the western world, General Krukov and Colonel Cherdenko with Dr. Zelinski make a last ditch effort to save the Union by using Zelinski's latest invention, a time machine.",True,False,False,False,False,False,False,True,False
31,Horizon Zero Dawn,https://www.imdb.com/title/tt4044024/?ref_=adv_li_tt,2017,T,9.0,"14,234","In a primitive tribal world where strange, monstrous, animalistic machines roam the wilderness, a brave young female warrior goes on a quest to learn the truth about her mysterious origin and the state the world is in.",True,True,False,False,False,False,True,False,False
32,Red Dead Redemption,https://www.imdb.com/title/tt1479962/?ref_=adv_li_tt,2010,M,9.5,"26,627",A former outlaw is forced by the federal government to hunt down the members of his old gang.,True,True,False,False,False,False,False,False,False
33,Call of Duty: Modern Warfare,https://www.imdb.com/title/tt10417512/?ref_=adv_li_tt,2019,M,8.4,"5,256","Captain Price and the SAS partner with the CIA and the Urzikstani Liberation Force to retrieve stolen chemical weapons. The fight takes you from London to the Middle East and beyond, as this joint task force battles to stop a global war.",True,False,False,False,False,False,False,False,True
34,Final Fantasy VII Remake,https://www.imdb.com/title/tt6057416/?ref_=adv_li_tt,2020,T,9.0,"3,635",Re-imagining of Final Fantasy VII (1997). A former soldier joins an eco-terrorist group in a mission against the electric power company he used to work for in order to protect the planet and all who reside on it.,True,True,False,False,False,True,False,False,False
35,Genshin Impact,https://www.imdb.com/title/tt11585486/?ref_=adv_li_tt,2020,T,7.9,"1,125","Each nation is associated with an element and worships a god associated with that element. A pair of twins arrive on Teyvat in the distant past, but are barred from leaving by an unknown god.",True,True,False,False,False,True,False,False,False
36,The Elder Scrolls V: Skyrim,https://www.imdb.com/title/tt1814884/?ref_=adv_li_tt,2011,M,9.4,"29,382","After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.",True,True,False,False,False,True,False,False,False
37,Fallout 4,https://www.imdb.com/title/tt4741306/?ref_=adv_li_tt,2015,M,8.6,"12,790","In the post-apocalyptic Boston, Massachusetts area, you play as the ""Sole Survior"" of Vault 111, recently revived from centuries of forced cryostasis, determined to find your kidnapped son.",True,True,False,False,False,False,False,True,False
38,Yakuza: Like a Dragon,https://www.imdb.com/title/tt11121754/?ref_=adv_li_tt,2020,M,8.7,536,"Ichiban Kasuga, a low-level Yakuza member looking to prove his self-worth, and follows him and his motley crew of unlikely allies as they attempt to rise from rags to riches in this modern human drama.",True,False,True,True,False,False,False,False,False
39,Days Gone,https://www.imdb.com/title/tt6795336/?ref_=adv_li_tt,2019,M,8.3,"5,981","Two years after a devastating global pandemic, bounty hunter Deacon St. John faces a brutal struggle for survival, and a reason to live.",True,True,False,False,False,False,False,False,False
40,Squadron 42,https://www.imdb.com/title/tt5194726/?ref_=adv_li_tt,,,,,Take the role of a rookie UEE Navy combat pilot in a cinematic single-player adventure set in the Star Citizen universe.,True,False,False,False,False,False,False,True,False
41,Grand Theft Auto IV,https://www.imdb.com/title/tt0802999/?ref_=adv_li_tt,2008,M,8.9,"34,553","Niko Bellic comes to Liberty City, America to live the good life, but ends up having to assist his dangerously indebted cousin Roman with his financial troubles, by any (mostly illegal) means necessary.",True,False,False,True,False,False,False,False,False
42,Batman: Arkham City,https://www.imdb.com/title/tt1568322/?ref_=adv_li_tt,2011,T,9.4,"30,763","When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.",True,True,False,True,False,False,False,False,False
43,Tiny Tina's Wonderlands,https://www.imdb.com/title/tt14831458/?ref_=adv_li_tt,2022,M,8.2,350,"Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry. Bullets, magic, and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina.",True,True,True,False,False,False,False,False,False
44,Saints Row,https://www.imdb.com/title/tt10925300/?ref_=adv_li_tt,2022,M,4.3,221,An international private military corporation based in Santo Ileso that provides security for the city.,True,False,True,True,False,False,False,False,False
45,Marvel's Avengers,https://www.imdb.com/title/tt6468680/?ref_=adv_li_tt,2020,T,6.3,"2,467","A catastrophic accident results in massive devastation. Blamed for the tragedy, the Avengers disband. Five years later, with all super heroes outlawed and the world in peril, the only hope is to reassemble Earth's Mightiest Heroes.",True,True,False,False,False,True,False,False,False
46,Assassin's Creed: Odyssey,https://www.imdb.com/title/tt8545606/?ref_=adv_li_tt,2018,M,8.5,"7,034","Set in 431 BC during the Pelopenesian War, play as either a male or female mercenary as you embark on your own epic odyssey to become a legendary Spartan hero in a world where every choice matters.",True,True,False,False,False,True,False,False,False
47,Far Cry 5,https://www.imdb.com/title/tt6967966/?ref_=adv_li_tt,2018,M,7.9,"6,880","A deputy is sent to the town of Hope County to arrest Joseph Seed, a corrupt evangelical religious leader who rules the town with the help of his disturbed followers.",True,True,False,True,False,False,False,False,False
48,Resident Evil Village,https://www.imdb.com/title/tt12497042/?ref_=adv_li_tt,2021,M,8.7,"4,707",Ethan Winters' world suddenly comes crashing down when Chris Redfield's appearance sets off a chain of events that ultimately leads him to a mysterious village.,True,True,False,False,False,False,False,False,False
49,L.A. Noire,https://www.imdb.com/title/tt1764429/?ref_=adv_li_tt,2011,M,8.7,"15,448","Cole Phelps, a war hero and rookie cop, moves up the ranks and solves dark cases in 1940s Los Angeles.",True,False,False,True,False,False,False,False,False
50,Fortnite,https://www.imdb.com/title/tt8020008/?ref_=adv_li_tt,2017,T,4.9,"6,609","A cooperative shooter-survival game for up to four players to fight off zombie-like husks, defend objects with fortifications you can build, and a battle royale mode where up to 100 players fight to be the last person standing.",True,True,True,False,False,False,False,False,False
51,The Dark Pictures: House of Ashes,https://www.imdb.com/title/tt13368198/?ref_=adv_li_tt,2021,M,7.7,"1,063","A group of American marines comes across an underground nest of pure, ancient evil while trekking through the Arabian desert.",True,True,False,False,False,False,False,False,False
52,Mortal Kombat 11,https://www.imdb.com/title/tt9398566/?ref_=adv_li_tt,2019,M,7.8,"3,493","When a time lord starts merging past with the present, versions of heroes from both Mortal Kombat timelines must unite to right past wrongs and save the world.",True,True,False,False,False,True,False,False,False
53,Batman: Arkham Asylum,https://www.imdb.com/title/tt1282022/?ref_=adv_li_tt,2009,T,9.2,"27,584",You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.,True,True,False,True,False,False,False,False,False
54,Lego Star Wars: The Skywalker Saga,https://www.imdb.com/title/tt10461542/?ref_=adv_li_tt,2022,E10+,9.0,"1,627",Play through all nine Star Wars films in a LEGO Game of epic proportions.,True,True,True,False,False,False,False,False,False
55,Assassin's Creed IV: Black Flag,https://www.imdb.com/title/tt2739708/?ref_=adv_li_tt,2013,M,8.7,"16,919","A video game where you play as sailor, privateer and assassin Edward Kenway exploring on and around the islands in the Caribbean Sea during the early 17th century.",True,True,False,False,False,False,False,False,False
56,Uncharted: The Lost Legacy,https://www.imdb.com/title/tt6304452/?ref_=adv_li_tt,2017,T,8.5,"7,173","Chloe returns in The Lost Legacy on the hunt for an ancient Indian artifact, the fabled Tusk of Ganesh. To help uncover the Tusk and keep it out of the hands of a ruthless warmonger, she enlists the help of mercenary Nadine Ross.",True,True,False,False,False,False,True,False,False
57,Injustice 2,https://www.imdb.com/title/tt5769154/?ref_=adv_li_tt,2017,T,8.5,"3,939","Following the end of Superman's totalitarian reign over the Earth, Batman and his allies attempt to piece the world back together only to be faced with a new threat that will cause them to do the unthinkable.",True,True,False,False,False,True,False,False,False
58,Predator: Hunting Grounds,https://www.imdb.com/title/tt10437042/?ref_=adv_li_tt,2020,M,6.1,288,Survive the Predator's hunt or hunt down a fire-team.,True,True,False,False,False,False,False,False,False
59,Uncharted 3: Drake's Deception,https://www.imdb.com/title/tt1800763/?ref_=adv_li_tt,2011,T,9.0,"21,974","Treasure hunter Nathan Drake embarks on a quest in search of the Atlantis of the Sands while battling an ancient, sinister organization.",True,True,False,False,False,True,False,False,False
60,Mass Effect,https://www.imdb.com/title/tt1073668/?ref_=adv_li_tt,2007,M,9.1,"18,158","In a technologically advanced future, an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger.",True,True,False,False,False,False,False,False,False
61,Assassin's Creed II,https://www.imdb.com/title/tt1201133/?ref_=adv_li_tt,2009,M,9.1,"23,066","Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope.",True,True,False,False,False,False,False,True,False
62,Mass Effect 2,https://www.imdb.com/title/tt1540125/?ref_=adv_li_tt,2010,M,9.5,"19,912","After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.",True,True,False,False,False,False,False,False,False
63,Metal Gear Solid V: The Phantom Pain,https://www.imdb.com/title/tt2370518/?ref_=adv_li_tt,2015,M,8.8,"7,477","After awakening from a nine year coma, Big Boss forms a new mercenary group called, Diamond Dogs, and teams up with his former rival, Ocelot, to track down the men responsible for the destruction of MSF.",True,True,False,False,False,False,False,False,False
64,Apex Legends,https://www.imdb.com/title/tt9730966/?ref_=adv_li_tt,2019,T,7.4,"2,804",Master an ever-growing roster of legendary characters with powerful abilities and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.,True,True,False,False,False,False,False,True,False
65,Forspoken,https://www.imdb.com/title/tt12497068/?ref_=adv_li_tt,2023,M,,,A young woman named Frey Holland awakens in the land of Athia and must embark on an adventure and endure treacherous trials to uncover the mystery the land hides.,True,True,False,False,False,True,False,False,False
66,Tomb Raider,https://www.imdb.com/title/tt1797530/?ref_=adv_li_tt,2013,M,8.8,"18,376","Armed with only the raw instincts and physical ability, experience Lara Croft's intense origin story from a young woman to a hardened survivor.",True,True,False,False,False,True,False,False,False
67,Ghost Recon: Wildlands,https://www.imdb.com/title/tt6528196/?ref_=adv_li_tt,2017,M,7.6,"1,788","Bolivia 2019, the Santa Blanca Cartel has gained too much power. ""The Ghosts"" are sent in to get rid of them.",True,True,False,True,False,False,False,False,False
68,Dying Light 2: Stay Human,https://www.imdb.com/title/tt8545514/?ref_=adv_li_tt,2022,M,7.9,"1,021","Fifteen years after the virus in Harran, the infected world is plunged into a modern dark age, where players deal with bandits and factions during the day and the infected at night.",True,True,False,False,False,False,False,False,False
69,Kingdom Hearts III,https://www.imdb.com/title/tt2973418/?ref_=adv_li_tt,2019,E10+,8.2,"2,066","Believing light and darkness must remain in balance, Master Xehanort seeks to spark war against the ""tyranny of light"" to restore equilibrium.",True,True,False,False,True,False,False,False,False
70,Saints Row: The Third,https://www.imdb.com/title/tt2124034/?ref_=adv_li_tt,2011,M,8.1,"6,103","After the Saints have transformed from a small town street gang to pop culture giants, they decide to take over another city called Steelport.",True,False,True,True,False,False,False,False,False
71,Cuphead,https://www.imdb.com/title/tt4779924/?ref_=adv_li_tt,2017,E,8.6,"2,720",An anthropomorphic cup embarks on a journey and fights a series of bosses to repay a debt to the devil.,True,True,False,False,False,False,False,False,False
72,Poppy Playtime,https://www.imdb.com/title/tt15764858/?ref_=adv_li_tt,2021,T,6.9,489,"In this horror/puzzle adventure, You must survive the vengeful toys waiting for you in the abandoned toy factory, Use your GrabPack and Explore the mysterious facility.. and don't get caught.",True,True,False,False,False,False,False,False,False
73,Control,https://www.imdb.com/title/tt8585800/?ref_=adv_li_tt,2019,M,8.1,"3,708","You are Jesse Faden, a young woman with a troubled past. You become the new Director of the Bureau of Control - Our frontline in researching and fighting against supernatural enemies like the Hiss threatening our very existence.",True,True,False,False,False,False,False,False,False
74,Assassin's Creed: Origins,https://www.imdb.com/title/tt7025920/?ref_=adv_li_tt,2017,M,8.5,"7,831","A prequel to the Assassin's Creed Franchise set in Egypt from 48 BC where Bayek, a Medjay, begins the foundation of the Assassin's Brotherhood.",True,True,False,False,False,True,False,False,False
75,Spider-Man 2,https://www.imdb.com/title/tt15399898/?ref_=adv_li_tt,2023,T,,,"Plot unknown. A sequel to the 2018 game ""Spider-Man"".",True,True,False,True,False,False,False,False,False
76,God of War III,https://www.imdb.com/title/tt1199781/?ref_=adv_li_tt,2010,M,9.1,"10,355","Armed with his deadly double-chained blades, Kratos must take on Greek mythology's darkest creatures to destroy Olympus and the mighty Zeus himself.",True,True,False,False,False,True,False,False,False
77,Call of Duty: Black Ops,https://www.imdb.com/title/tt1632479/?ref_=adv_li_tt,2010,M,8.3,"19,173","Former Marine Captain and CIA operative Alex Mason, upon interrogation by an unknown party, recounts his violent experiences with the Bay of Pigs, a radical Soviet conspiracy, and the Vietnam war.",True,False,False,False,False,False,False,False,True
78,Batman: Arkham Origins,https://www.imdb.com/title/tt2842418/?ref_=adv_li_tt,2013,T,8.2,"13,655","Years before the Arkham incidents, the neophyte Dark Knight finds himself the target of an open murder contract courtesy of Black Mask that draws eight of the world's deadliest assassins and a new criminal named The Joker.",True,True,False,True,False,False,False,False,False
79,Mass Effect 3,https://www.imdb.com/title/tt1839558/?ref_=adv_li_tt,2012,M,9.1,"15,572","Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the galaxy, only a miracle could save them. Then again, Shepard did come back from the dead.",True,True,False,False,False,False,False,True,False
80,Mass Effect: Legendary Edition,https://www.imdb.com/title/tt14849728/?ref_=adv_li_tt,2021,M,9.7,"1,583",A compilation of the first three Mass Effect games.,True,True,False,False,False,False,False,True,False
81,Call of Duty: Modern Warfare 2,https://www.imdb.com/title/tt1450746/?ref_=adv_li_tt,2009,M,8.8,"23,450","A massacre at a Russian airport leads to a war between Russia and the United States. Meanwhile, a Task Force is sent to find the perpetrators and bring the bloodshed to an end.",True,False,False,False,False,False,False,False,True
82,Call of Duty: Vanguard,https://www.imdb.com/title/tt15261812/?ref_=adv_li_tt,2021,M,6.0,"1,157","Dogfight over the Pacific, airdrop over France, defend Stalingrad with a sniper's precision and blast through advancing forces in North Africa.",True,False,False,False,False,False,False,False,False
83,Gotham Knights,https://www.imdb.com/title/tt12948838/?ref_=adv_li_tt,2022,T,,,"Batman is dead. A new expansive, criminal underworld has swept the streets of Gotham City. It is now up to the Batman Family; Batgirl, Nightwing, Red Hood, and Robin; to protect Gotham.",True,True,False,True,False,False,False,False,False
84,Destiny 2,https://www.imdb.com/title/tt6721356/?ref_=adv_li_tt,2017,T,7.6,"3,165","Humanity's last safe city has fallen to an overwhelming invasion force, led by Ghaul, the imposing commander of the brutal Red Legion. He has stripped the city's Guardians of their power, and forced the survivors to flee.",True,True,False,False,False,True,False,False,False
85,Minecraft,https://www.imdb.com/title/tt2011970/?ref_=adv_li_tt,2009,E10+,8.5,"10,880","Welcome to the world of Minecraft where you can build, brew potions, enchant your armor and tools and adventure other biomes. Visit the Nether, or even defeat the Ender Dragon in the End.",True,True,False,False,True,False,False,False,False
86,Resident Evil VII: Biohazard,https://www.imdb.com/title/tt3569570/?ref_=adv_li_tt,2017,M,8.6,"7,633",An ordinary man must embark on a search to find his missing wife that leads him to an abandoned house where a mysterious family lives who harbor an evil secret within the house and themselves.,True,False,False,False,False,False,False,False,False
87,Assassin's Creed III,https://www.imdb.com/title/tt2175563/?ref_=adv_li_tt,2012,M,8.0,"16,911","The American Colonies, 1775. It's a time of civil unrest and political upheaval in the Americas. As a Native American fights to protect his land and his people, he will ignite the flames of a young nation's revolution.",True,True,False,False,False,False,False,False,False
88,Mafia: Definitive Edition,https://www.imdb.com/title/tt12354406/?ref_=adv_li_tt,2020,M,8.3,"2,442",The game follows Thomas Angelo where his life as a hard-working taxi driver is forever changed after a fateful run-in with the Italian Mafia.,True,True,False,True,False,False,False,False,False
89,Far Cry 4,https://www.imdb.com/title/tt3742988/?ref_=adv_li_tt,2014,M,8.1,"9,674","To fulfil his mother's dying wish, Ajay Ghale travels to Kyrat to scatter her ashes. Before he can accomplish this, though, he must end a civil war between the Golden Path and Min's forces.",True,True,False,False,False,False,False,False,False
90,Suicide Squad: Kill the Justice League,https://www.imdb.com/title/tt12892300/?ref_=adv_li_tt,2023,T,,,The most dangerous villains in the DC Universe have been forced to team up and take on a new mission: Kill the Justice League.,True,True,True,False,False,False,False,False,False
91,Metal Gear Rising: Revengeance,https://www.imdb.com/title/tt1602611/?ref_=adv_li_tt,2013,M,7.7,"2,363","In the year 2018, cybernetic soldier Raiden goes on a mission to stop a terrorist organization from starting a war for financial gain.",True,True,False,False,False,False,False,True,False
92,Call of Duty: WWII,https://www.imdb.com/title/tt6824658/?ref_=adv_li_tt,2017,M,7.8,"6,300",You play various American servicemen and their allies in World War II as the Western Allies fight their way through Europe during and after the invasion of Normandy.,True,False,False,False,False,False,False,False,False
93,Resident Evil 4,https://www.imdb.com/title/tt0397042/?ref_=adv_li_tt,2005,M,9.2,"13,129","Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.",True,True,False,False,False,True,False,False,False
94,God of War,https://www.imdb.com/title/tt0416779/?ref_=adv_li_tt,2005,M,9.1,"10,150","After 10 years of endless nightmares and servitude to the gods of Olympus, Kratos is assigned with a final task, to kill Ares, the God of War.",True,True,False,False,False,True,False,False,False
95,Saints Row IV,https://www.imdb.com/title/tt2971572/?ref_=adv_li_tt,2013,M,7.8,"4,157",Play as your own customized President of United States of America and fight for an Alien invasion that nobody saw coming.,True,True,True,False,False,False,False,False,False
96,Call of Duty: Modern Warfare II,https://www.imdb.com/title/tt20765060/?ref_=adv_li_tt,2022,,,,A sequel to 2019's modern warfare,True,False,False,False,False,False,False,False,False
97,Resident Evil 2,https://www.imdb.com/title/tt7826034/?ref_=adv_li_tt,2019,M,9.1,"7,029","Re-imagining of Resident Evil 2 (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.",True,False,False,False,False,False,False,True,False
98,Resident Evil 4,https://www.imdb.com/title/tt21047286/?ref_=adv_li_tt,2023,M,,,Remake of the 2005 game Resident Evil 4.,True,True,False,False,False,True,False,False,False
99,Grand Theft Auto III,https://www.imdb.com/title/tt0277723/?ref_=adv_li_tt,2001,M,8.7,"15,703","A young bank robber escapes from police custody and works his way up through the mafia ladder of crime-ridden Liberty City, USA.",True,False,False,True,False,False,False,False,False
100,Star Wars Jedi: Survivor,https://www.imdb.com/title/tt20672830/?ref_=adv_li_tt,2023,T,,,Add a Plot,True,True,False,False,False,False,False,False,False
101,BioShock Infinite,https://www.imdb.com/title/tt1712064/?ref_=adv_li_tt,2013,M,9.1,"20,162","A man is sent to the flying city of Columbia to find a missing girl. However, upon arrival he discovers that the city, its people, and his objective are all not what they seem.",True,True,False,False,False,False,False,False,False
102,Mass Effect: Andromeda,https://www.imdb.com/title/tt4876864/?ref_=adv_li_tt,2017,M,6.9,"5,287","The Andromeda Initiative sets a course for a new galaxy, hoping to find a new home for the species of the Milky Way.",True,True,False,False,False,False,True,False,False
103,Fortnite: Chapter 3,https://www.imdb.com/title/tt16358708/?ref_=adv_li_tt,2021,T,5.9,661,The Island has flipped. The Foundation is seeking help from the Loopers and Agent Jones helps him and The Seven reunite and find Geno.,True,True,False,False,False,True,False,False,False
